name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Levine, Sherrie",Female,born 1947,1947,9999,"Hazleton, United States",Missing,http://www.tate.org.uk/art/artists/sherrie-levine-2753
"Levy, Simon",Male,1886–1973,1886,1973,"Strasbourg, France","Paris, France",http://www.tate.org.uk/art/artists/simon-levy-1943
"Lewis, A. Neville",Male,1895–1972,1895,1972,"Cape Town, South Africa",Missing,http://www.tate.org.uk/art/artists/a-neville-lewis-1500
"Lewis, George Robert",Male,1782–1871,1782,1871,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/george-robert-lewis-349
"Lewis, John Frederick",Male,1805–1876,1805,1876,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-frederick-lewis-350
"Lewis, Morland",Male,1903–1943,1903,1943,"Carmarthen, United Kingdom",North Africa,http://www.tate.org.uk/art/artists/morland-lewis-1501
"Lewis, Wyndham",Male,1882–1957,1882,1957,"Amherst, Canada","London, United Kingdom",http://www.tate.org.uk/art/artists/wyndham-lewis-1502
"LeWitt, Sol",Male,1928–2007,1928,2007,"Hartford, United States","New York, United States",http://www.tate.org.uk/art/artists/sol-lewitt-1504
"Lhote, André",Male,1885–1962,1885,1962,"Bordeaux, France","Paris, France",http://www.tate.org.uk/art/artists/andre-lhote-1506
"Li, Yuan-chia",Male,1929–1994,1929,1994,Zhonghua,"Carlisle, United Kingdom",http://www.tate.org.uk/art/artists/li-yuan-chia-7467
"Libera, Zbigniew",Male,born 1959,1959,9999,"Pabianice, Polska",Missing,http://www.tate.org.uk/art/artists/zbigniew-libera-13716
"Liberman, Alexander",Male,1912–1999,1912,1999,"Kiyev, Ukrayina",Missing,http://www.tate.org.uk/art/artists/alexander-liberman-1507
"Lichtenstein, Roy",Male,1923–1997,1923,1997,"New York, United States",Manhattan Island,http://www.tate.org.uk/art/artists/roy-lichtenstein-1508
"Lieber, Tom",Male,born 1949,1949,9999,"Saint Louis, United States",Missing,http://www.tate.org.uk/art/artists/tom-lieber-2237
"Liebermann, Max",Male,1847–1935,1847,1935,"Berlin, Deutschland","Berlin, Deutschland",http://www.tate.org.uk/art/artists/max-liebermann-1509
"Lightfoot, Maxwell Gordon",Male,1886–1911,1886,1911,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/maxwell-gordon-lightfoot-1510
"Ligon, Glenn",Male,born 1960,1960,9999,"Bronx, United States",Missing,http://www.tate.org.uk/art/artists/glenn-ligon-10429
"Lijn, Liliane",Female,born 1939,1939,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/liliane-lijn-1511
"Lim, Kim",Female,1936–1997,1936,1997,Singapore,"London, United Kingdom",http://www.tate.org.uk/art/artists/kim-lim-1512
"Lin, Richard",Male,born 1933,1933,9999,Chung-hua Min-kuo,Missing,http://www.tate.org.uk/art/artists/richard-lin-1513
Linder,Female,born 1954,1954,9999,"Liverpool, United Kingdom",Missing,http://www.tate.org.uk/art/artists/linder-10844
"Lindner, Richard",Male,1901–1978,1901,1978,"Hamburg, Deutschland","New York, United States",http://www.tate.org.uk/art/artists/richard-lindner-1514
"Lindström, Bengt",Male,born 1925,1925,9999,Sverige,Missing,http://www.tate.org.uk/art/artists/bengt-lindstrom-1515
"Ling, Rita M.",Female,born 1922,1922,9999,"Wolverhampton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/rita-m-ling-1516
"Ling, Simon",Male,born 1968,1968,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/simon-ling-13288
"Linke, Simon",Male,born 1958,1958,9999,"Benalla, Australia",Missing,http://www.tate.org.uk/art/artists/simon-linke-15409
"Linnell, John",Male,1792–1882,1792,1882,"London, United Kingdom","Redhill, United Kingdom",http://www.tate.org.uk/art/artists/john-linnell-351
"Linnell, William",Male,1826–1906,1826,1906,Missing,Missing,http://www.tate.org.uk/art/artists/william-linnell-2268
"Linton, William",Male,1791–1876,1791,1876,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-linton-352
"Lion, Flora",Female,1878–1958,1878,1958,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/flora-lion-1517
"Lipchitz, Jacques",Male,1891–1973,1891,1973,Lietuva,"Capri, Isola di, Italia",http://www.tate.org.uk/art/artists/jacques-lipchitz-1518
"Lissitzky, El",Male,1890–1941,1890,1941,"Pochinok, Rossiya","Moskva, Rossiya",http://www.tate.org.uk/art/artists/el-lissitzky-1519
"Livens, Horace Mann",Male,1862–1936,1862,1936,"Croydon, United Kingdom","Harrow, United Kingdom",http://www.tate.org.uk/art/artists/horace-mann-livens-1520
"Liverseege, Henry",Male,1803–1832,1803,1832,Missing,Missing,http://www.tate.org.uk/art/artists/henry-liverseege-2438
"Llewellyn, Sir William",Male,1858–1941,1858,1941,"Cirencester, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-llewellyn-353
"Lloyd, Hilary",Female,born 1964,1964,9999,"Halifax, United Kingdom",Missing,http://www.tate.org.uk/art/artists/hilary-lloyd-2765
"Lloyd, James",Male,1905–1974,1905,1974,"England, United Kingdom","England, United Kingdom",http://www.tate.org.uk/art/artists/james-lloyd-1521
"Lochore, Brad",Male,born 1960,1960,9999,"Wellington, New Zealand",Missing,http://www.tate.org.uk/art/artists/brad-lochore-3080
"Locke, Hew",Male,born 1959,1959,9999,"Edinburgh, United Kingdom",Missing,http://www.tate.org.uk/art/artists/hew-locke-11946
"Locke, William, of Norbury, Junior",Male,1767–1847,1767,1847,Missing,Missing,http://www.tate.org.uk/art/artists/william-locke-of-norbury-junior-2514
"Locker, Edward Hawke",Male,1777–1849,1777,1849,Missing,Missing,http://www.tate.org.uk/art/artists/edward-hawke-locker-2439
"Lockhart, Sharon",Female,born 1964,1964,9999,"Norwood, United States",Missing,http://www.tate.org.uk/art/artists/sharon-lockhart-6007
"Logan, Peter",Male,born 1943,1943,9999,"Witney, United Kingdom",Missing,http://www.tate.org.uk/art/artists/peter-logan-1522
"Logsdail, William",Male,1859–1944,1859,1944,"Lincoln, United Kingdom","Oxfordshire, United Kingdom",http://www.tate.org.uk/art/artists/william-logsdail-354
"Lohse, Richard Paul",Male,1902–1988,1902,1988,"Zürich, Schweiz",Missing,http://www.tate.org.uk/art/artists/richard-paul-lohse-1523
"Loker, John",Male,born 1938,1938,9999,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-loker-1524
London Gallery,Missing,"born ?, born 1948",1948,9999,Missing,Missing,http://www.tate.org.uk/art/artists/the-london-gallery-vaughan-grylls-nicholas-wegner-1138
"Long, Amelia",Female,1772–1837,1772,1837,"London, United Kingdom","Kent, United Kingdom",http://www.tate.org.uk/art/artists/amelia-long-lady-farnborough-2570
"Long, Charles",Male,1760 or 1–1838,1760,1838,Missing,"Kent, United Kingdom",http://www.tate.org.uk/art/artists/charles-long-baron-farnborough-2571
"Long, Richard",Male,born 1945,1945,9999,"Bristol, United Kingdom",Missing,http://www.tate.org.uk/art/artists/richard-long-1525
"Longhi, Pietro",Male,1702–1785,1702,1785,"Venezia, Italia","Venezia, Italia",http://www.tate.org.uk/art/artists/pietro-longhi-505
"Longo, Robert",Male,born 1953,1953,9999,"Brooklyn, United States",Missing,http://www.tate.org.uk/art/artists/robert-longo-1526
"Lord, Andrew",Male,born 1950,1950,9999,"Rochdale, United Kingdom",Missing,http://www.tate.org.uk/art/artists/andrew-lord-7268
"Lorimer, John Henry",Male,1856–1936,1856,1936,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/john-henry-lorimer-355
Los Carpinteros,Male,"born 1969, born 1971",1971,9999,Cuba,Missing,http://www.tate.org.uk/art/artists/los-carpinteros-marco-antonio-castillo-valdes-dagoberto-rodriguez-sanchez-9596
"Loudoun, Edith Maud Rawdon-Hasting, Countess of",Female,1833–1874,1833,1874,Missing,Missing,http://www.tate.org.uk/art/artists/edith-maud-rawdon-hastings-countess-of-loudoun-2554
"Louis, Morris",Male,1912–1962,1912,1962,"Baltimore Independent City, United States","Washington, United States",http://www.tate.org.uk/art/artists/morris-louis-1527
"Louw, Roelof",Male,born 1936,1936,9999,"Cape Town, South Africa",Missing,http://www.tate.org.uk/art/artists/roelof-louw-1528
"Low, Sir David",Male,1891–1963,1891,1963,"Dunedin, New Zealand","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-david-low-1529
"Lowe, Peter",Male,born 1938,1938,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/peter-lowe-1530
"Lowinsky, Thomas",Male,1892–1947,1892,1947,"London, United Kingdom","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/thomas-lowinsky-1531
"Lowndes, Alan",Male,1921–1978,1921,1978,"Stockport, United Kingdom",Missing,http://www.tate.org.uk/art/artists/alan-lowndes-1532
"Lowry, L.S.",Male,1887–1976,1887,1976,"England, United Kingdom",Salford,http://www.tate.org.uk/art/artists/ls-lowry-1533
"Lozano-Hemmer, Rafael",Male,born 1967,1967,9999,"Ciudad de México, México",Missing,http://www.tate.org.uk/art/artists/rafael-lozano-hemmer-11405
"Lozoff, Abrasha",Male,1887–1936,1887,1936,Missing,Missing,http://www.tate.org.uk/art/artists/abrasha-lozoff-1534
"Lucas, David",Male,1802–1881,1802,1881,Missing,Missing,http://www.tate.org.uk/art/artists/david-lucas-2708
"Lucas, John Seymour",Male,1849–1923,1849,1923,Missing,Missing,http://www.tate.org.uk/art/artists/john-seymour-lucas-356
"Lucas, Sarah",Female,born 1962,1962,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/sarah-lucas-2643
Lucio,Male,1929–1998,1929,1998,"Madrid, España",Missing,http://www.tate.org.uk/art/artists/lucio-lucio-munoz-2341
Lucy and Eegyudluk,Missing,"born c.1918, born c.1930",1918,9999,Missing,Missing,http://www.tate.org.uk/art/artists/lucy-and-eegyudluk-1535
"Lundquist, Evert",Male,born 1904,1904,9999,"Stockholm, Sverige",Missing,http://www.tate.org.uk/art/artists/evert-lundquist-1536
"Lüpertz, Markus",Male,born 1941,1941,9999,"Liberec, Ceská Republika",Missing,http://www.tate.org.uk/art/artists/markus-lupertz-8594
"Lye, Len",Missing,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/len-lye-16926
"M/M (Paris, France)",Missing,founded 1992,1992,9999,Missing,Missing,http://www.tate.org.uk/art/artists/mm-paris-france-9403
"Macallum, Hamilton",Male,1841–1896,1841,1896,"Argyll, United Kingdom","Beer, United Kingdom",http://www.tate.org.uk/art/artists/hamilton-macallum-357
"Macartney, Carlile Henry Hayes",Male,c.1842–1924,1842,1924,Missing,Missing,http://www.tate.org.uk/art/artists/carlile-henry-hayes-macartney-2440
"Macbeth, Robert Walker",Male,1848–1910,1848,1910,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-walker-macbeth-358
"MacBryde, Robert",Male,1913–1966,1913,1966,"Maybole, United Kingdom",Missing,http://www.tate.org.uk/art/artists/robert-macbryde-1537
"Maccallum, Andrew",Male,1821–1902,1821,1902,Missing,Missing,http://www.tate.org.uk/art/artists/andrew-maccallum-359
"Maccari, Mino",Male,1898–1989,1898,1989,"Siena, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/mino-maccari-1538
"Macchi, Jorge",Male,born 1963,1963,9999,"La Plata, Argentina",Missing,http://www.tate.org.uk/art/artists/jorge-macchi-6024
"Maccoll, Dugald Sutherland",Male,1859–1948,1859,1948,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/dugald-sutherland-maccoll-360
"Macdonald, Frances",Female,1914–2002,1914,2002,"Wallasey, United Kingdom",Missing,http://www.tate.org.uk/art/artists/frances-macdonald-1539
"Macdonald, Georgina",Female,1840–1920,1840,1920,Missing,Missing,http://www.tate.org.uk/art/artists/georgina-macdonald-lady-burne-jones-361
"Macgregor, William York",Male,1855–1923,1855,1923,"Argyll and Bute, United Kingdom",Oban,http://www.tate.org.uk/art/artists/william-york-macgregor-362
"Mach, David",Male,born 1956,1956,9999,"Methil, United Kingdom",Missing,http://www.tate.org.uk/art/artists/david-mach-1540
"Machin, Arnold",Male,1911–1999,1911,1999,Stoke on Trent,"Staffordshire, United Kingdom",http://www.tate.org.uk/art/artists/arnold-machin-1541
"Maciá, Oswaldo",Male,born 1960,1960,9999,"Cartagena, Colombia",Missing,http://www.tate.org.uk/art/artists/oswaldo-macia-7507
"Mack, Heinz",Male,born 1931,1931,9999,"Lollar, Deutschland",Missing,http://www.tate.org.uk/art/artists/heinz-mack-1263
"Mackay, Alex",Missing,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/alex-mackay-1542
"Mackennal, Sir Bertram",Male,1863–1931,1863,1931,"Melbourne, Australia","Torquay, United Kingdom",http://www.tate.org.uk/art/artists/sir-bertram-mackennal-1543
"Mackenzie, Alexander",Male,1923–2002,1923,2002,"Liverpool, United Kingdom","Penzance, United Kingdom",http://www.tate.org.uk/art/artists/alexander-mackenzie-1544
"Mackenzie, Alix",Female,1922–1962,1922,1962,Missing,Missing,http://www.tate.org.uk/art/artists/alix-mackenzie-1545
"Mackenzie, Frederick",Male,1787–1854,1787,1854,Missing,"London, United Kingdom",http://www.tate.org.uk/art/artists/frederick-mackenzie-363
"Mackenzie, Warren",Male,born 1924,1924,9999,"Kansas City, United States",Missing,http://www.tate.org.uk/art/artists/warren-mackenzie-1546
"Mackie, Christina",Female,born 1956,1956,9999,Canada,Missing,http://www.tate.org.uk/art/artists/christina-mackie-9555
"Mackinnon, Sine",Male,1901–1996,1901,1996,"Newcastle, United Kingdom",Missing,http://www.tate.org.uk/art/artists/sine-mackinnon-1547
"Mackintosh, Charles Rennie",Male,1868–1928,1868,1928,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/charles-rennie-mackintosh-1548
"Maclaren, Donald",Male,1886–1917,1886,1917,"Kensington, United Kingdom",Missing,http://www.tate.org.uk/art/artists/donald-maclaren-1549
"Maclise, Daniel",Male,1806–1870,1806,1870,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/daniel-maclise-365
"Mactaggart, Sir William",Male,1903–1981,1903,1981,"Loanhead, United Kingdom",Missing,http://www.tate.org.uk/art/artists/sir-william-mactaggart-1550
"MacWhirter, John",Male,1839–1911,1839,1911,"Scotland, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-macwhirter-367
"Madani, Tala",Female,born 1981,1981,9999,Îran,Missing,http://www.tate.org.uk/art/artists/tala-madani-14729
"Maddox, Conroy",Male,1912–2005,1912,2005,"Hertfordshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/conroy-maddox-1551
"Maddox, Ronald",Male,born 1930,1930,9999,Missing,Missing,http://www.tate.org.uk/art/artists/ronald-maddox-1552
"Magritte, René",Male,1898–1967,1898,1967,"Lessines, België","Schaerbeek, België",http://www.tate.org.uk/art/artists/rene-magritte-1553
"Mahoney, Charles",Male,1903–1968,1903,1968,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/charles-mahoney-1554
"Maillol, Aristide",Male,1861–1944,1861,1944,"Banyuls-sur-Mer, France","Perpignan, France",http://www.tate.org.uk/art/artists/aristide-maillol-1555
"Maitec, Ovidiu",Male,born 1925,1925,9999,"Arad, România",Missing,http://www.tate.org.uk/art/artists/ovidiu-maitec-1557
"Maitin, Sam",Male,1928–2004,1928,2004,"Philadelphia, United States",Missing,http://www.tate.org.uk/art/artists/sam-maitin-1558
"Maitland, Paul",Male,1863–1909,1863,1909,"Chelsea, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/paul-maitland-1559
"Majerus, Michel",Male,1967–2002,1967,2002,"Esch-sur-Alzette, Luxembourg",Missing,http://www.tate.org.uk/art/artists/michel-majerus-6307
"Makarius, Sameer",Male,1924–2009,1924,2009,"Al-Qahirah, Misr","Buenos Aires, Argentina",http://www.tate.org.uk/art/artists/sameer-makarius-15619
"Makowski, Kazimierz",Male,born 1951,1951,9999,Missing,Missing,http://www.tate.org.uk/art/artists/kazimierz-makowski-1560
"Malchair, John Baptist",Male,1729–1812,1729,1812,"Köln, Deutschland",Missing,http://www.tate.org.uk/art/artists/john-baptist-malchair-2372
"Malevich, Kazimir",Male,1879–1935,1879,1935,"Kiyev, Ukrayina","Sankt-Peterburg, Rossiya",http://www.tate.org.uk/art/artists/kazimir-malevich-1561
"Malinowski, Antoni",Male,born 1955,1955,9999,"Warszawa, Polska",Missing,http://www.tate.org.uk/art/artists/antoni-malinowski-2377
"Maljkovic, David",Male,born 1973,1973,9999,"Rijeka, Hrvatska",Missing,http://www.tate.org.uk/art/artists/david-maljkovic-13714
"Malthouse, Eric",Male,1914–1997,1914,1997,"Birmingham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/eric-malthouse-1562
Man Ray,Male,1890–1976,1890,1976,"Philadelphia, United States","Paris, France",http://www.tate.org.uk/art/artists/man-ray-1563
"Manby, Thomas",Male,c.1660–1690,1660,1690,Missing,"London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-manby-2233
"Mancini, Antonio",Male,1852–1930,1852,1930,"Roma, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/antonio-mancini-1564
"Mandel, Mike",Male,born 1950,1950,9999,"Los Angeles, United States",Missing,http://www.tate.org.uk/art/artists/mike-mandel-10069
Mane-Katz,Male,1894–1962,1894,1962,"Kremenchug, Ukrayina","Tel Aviv-Yafo, Yisra'el",http://www.tate.org.uk/art/artists/mane-katz-1565
"Manessier, Alfred",Male,1911–1993,1911,1993,"Saint-Ouen, France",Missing,http://www.tate.org.uk/art/artists/alfred-manessier-1566
"Manet, Edouard",Male,1832–1883,1832,1883,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/edouard-manet-1567
Mangelos,Male,1921–1987,1921,1987,"Šid, Jugoslavija","Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/mangelos-dimitrije-basicevic-7741
"Mangold, Robert",Male,born 1937,1937,9999,"North Tonawanda, United States",Missing,http://www.tate.org.uk/art/artists/robert-mangold-1568
"Mangolte, Babette",Female,born 1941,1941,9999,"Jura, France",Missing,http://www.tate.org.uk/art/artists/babette-mangolte-6614
"Mann, Harrington",Male,1864–1937,1864,1937,"Glasgow, United Kingdom","New York, United States",http://www.tate.org.uk/art/artists/harrington-mann-1569
"Manson, James Bolivar",Male,1879–1945,1879,1945,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-bolivar-manson-1570
"Mantz, Werner",Male,1901–1983,1901,1983,"Köln, Deutschland","Eijsden, Nederland",http://www.tate.org.uk/art/artists/werner-mantz-14941
"Manuel, Antonio",Male,born 1947,1947,9999,"Aveiro, Portugal",Missing,http://www.tate.org.uk/art/artists/antonio-manuel-13085
"Manzoni, Piero",Male,1933–1963,1933,1963,"Soncino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/piero-manzoni-1571
"Manzu, Giacomo",Male,1908–1991,1908,1991,"Bergamo, Italia",Missing,http://www.tate.org.uk/art/artists/giacomo-manzu-1572
"Mapplethorpe, Robert",Male,1946–1989,1946,1989,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/robert-mapplethorpe-11413
"Mara, Tim",Male,1948–1997,1948,1997,"Dublin, Éire",Missing,http://www.tate.org.uk/art/artists/tim-mara-1573
"Maraz, Adriana",Female,born 1931,1931,9999,"Ilirska Bistrica, Slovenija",Missing,http://www.tate.org.uk/art/artists/adriana-maraz-1574
"Marchand, Jean",Male,1883–1941,1883,1941,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/jean-marchand-1575
"Marchant, Paul",Male,born 1948,1948,9999,Missing,Missing,http://www.tate.org.uk/art/artists/paul-marchant-1576
"Marclay, Christian",Male,born 1955,1955,9999,"San Rafael, United States",Missing,http://www.tate.org.uk/art/artists/christian-marclay-6852
"Marcoussis, Louis",Male,1878–1941,1878,1941,"Warszawa, Polska","Cusset, France",http://www.tate.org.uk/art/artists/louis-marcoussis-1577
"Marden, Brice",Male,born 1938,1938,9999,"Bronxville, United States",Missing,http://www.tate.org.uk/art/artists/brice-marden-1578
Marepe,Male,born 1970,1970,9999,"Santo Antônio de Jesus, Brasil",Missing,http://www.tate.org.uk/art/artists/marepe-11145
"Mariani, Carlo Maria",Male,born 1931,1931,9999,"Roma, Italia",Missing,http://www.tate.org.uk/art/artists/carlo-maria-mariani-1579
"Mariën, Marcel",Male,1920–1993,1920,1993,"Antwerpen, België","Bruxelles, België",http://www.tate.org.uk/art/artists/marcel-marien-8402
"Marin, John",Male,1870–1953,1870,1953,"Rutherford, United States","Addison, United States",http://www.tate.org.uk/art/artists/john-marin-1580
"Marini, Marino",Male,1901–1980,1901,1980,"Pistoia, Italia","Viareggio, Italia",http://www.tate.org.uk/art/artists/marino-marini-1581
"Marks, Henry Stacy",Male,1829–1898,1829,1898,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/henry-stacy-marks-2533
"Markson, Helena",Female,born 1934,1934,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/helena-markson-1582
"Marlow, William",Male,1740–1813,1740,1813,"London, United Kingdom","Twickenham, United Kingdom",http://www.tate.org.uk/art/artists/william-marlow-368
"Marquet, Albert",Male,1875–1947,1875,1947,"Bordeaux, France","Paris, France",http://www.tate.org.uk/art/artists/albert-marquet-2332
"Marshall, Benjamin",Male,1768–1835,1768,1835,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/benjamin-marshall-369
"Marshall, William",Male,1923–2007,1923,2007,"Cornwall, United Kingdom",Hayle,http://www.tate.org.uk/art/artists/william-marshall-8806
"Marshall, William Calder",Male,1813–1894,1813,1894,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-calder-marshall-370
"Marsingall, A",Missing,19th century,1800,1899,Missing,Missing,http://www.tate.org.uk/art/artists/a-marsingall-2515
"Martin, Agnes",Female,1912–2004,1912,2004,Canada,Missing,http://www.tate.org.uk/art/artists/agnes-martin-1583
"Martin, Anne",Female,born 1936,1936,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/anne-martin-15125
"Martin, Barry",Male,born 1943,1943,9999,"Amersham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/barry-martin-2746
"Martin, Charles",Male,1812 or 20–1906,1812,1906,Missing,Missing,http://www.tate.org.uk/art/artists/charles-martin-2441
"Martin, Daria",Female,born 1973,1973,9999,Missing,Missing,http://www.tate.org.uk/art/artists/daria-martin-6591
"Martin, Elias",Male,1739–1818,1739,1818,Stockholm,Sverige,http://www.tate.org.uk/art/artists/elias-martin-2442
"Martin, Frank",Male,1921–2005,1921,2005,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/frank-martin-1584
"Martin, J., of Canterbury",Missing,19th century,1800,1899,Missing,Missing,http://www.tate.org.uk/art/artists/j-martin-of-canterbury-2581
"Martin, John",Male,1789–1854,1789,1854,"Haydon Bridge, United Kingdom",Douglas,http://www.tate.org.uk/art/artists/john-martin-371
"Martin, Kenneth",Male,1905–1984,1905,1984,"Sheffield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/kenneth-martin-1585
"Martin, Mary",Female,1907–1969,1907,1969,"Folkestone, United Kingdom",Missing,http://www.tate.org.uk/art/artists/mary-martin-1586
"Martin, Simon",Male,born 1965,1965,9999,"Cheshire, United Kingdom",Missing,http://www.tate.org.uk/art/artists/simon-martin-8897
"Martinat Mendoza, Jose Carlos",Male,born 1974,1974,9999,Perú,Missing,http://www.tate.org.uk/art/artists/jose-carlos-martinat-mendoza-11358
"Martineau, Robert Braithwaite",Male,1826–1869,1826,1869,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/robert-braithwaite-martineau-372
"Martini, Arturo",Male,1889–1947,1889,1947,"Treviso, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/arturo-martini-2338
Marwan (Marwan Kassab Bachi),Male,born 1934,1934,9999,Suriyah,Missing,http://www.tate.org.uk/art/artists/marwan-marwan-kassab-bachi-14609
"Marx, Enid",Female,1902–1998,1902,1998,"London, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/enid-marx-1587
"Masi, Denis",Male,born 1942,1942,9999,"West Virginia, United States",Missing,http://www.tate.org.uk/art/artists/denis-masi-2271
"Mason, Arnold",Male,1885–1963,1885,1963,"Birkenhead, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/arnold-mason-1588
"Mason, George",Male,1818–1872,1818,1872,"Witley, United Kingdom",Missing,http://www.tate.org.uk/art/artists/george-mason-373
"Mason, Raymond",Male,1922–2010,1922,2010,"Birmingham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/raymond-mason-1589
"Masson, André",Male,1896–1987,1896,1987,"Haute-Corse, France","Paris, France",http://www.tate.org.uk/art/artists/andre-masson-1590
Master of the Giants,Male,1755–1834,1755,1834,Missing,Missing,http://www.tate.org.uk/art/artists/master-of-the-giants-prince-hoare-374
"Masters, E.",Missing,19th century,1800,1899,Missing,Missing,http://www.tate.org.uk/art/artists/e-masters-2516
"Mathews, Denis",Male,1913–1997,1913,1997,"Hampstead, United Kingdom",Missing,http://www.tate.org.uk/art/artists/denis-mathews-1592
"Matisse, Henri",Male,1869–1954,1869,1954,"Le Cateau-Cambrésis, France","Nice, France",http://www.tate.org.uk/art/artists/henri-matisse-1593
"Matschinsky-Denninghof, Brigitte",Female,born 1923,1923,9999,"Berlin, Deutschland",Missing,http://www.tate.org.uk/art/artists/brigitte-matschinsky-denninghof-1591
Matta,Male,1911–2002,1911,2002,"Santiago, Chile",Missing,http://www.tate.org.uk/art/artists/matta-roberto-matta-echaurren-1594
"Matta-Clark, Gordon",Male,1943–1978,1943,1978,"New York, United States","Nyack, United States",http://www.tate.org.uk/art/artists/gordon-matta-clark-7732
"Matthiasdottir, Louisa",Female,1917–2000,1917,2000,"Reykjavík, Ísland",Missing,http://www.tate.org.uk/art/artists/louisa-matthiasdottir-2745
"Maufra, Maxime",Male,1861–1918,1861,1918,"Nantes, France","Poncé-sur-le-Loir, France",http://www.tate.org.uk/art/artists/maxime-maufra-1595
"Maundrell, Charles",Male,1860–?c.1924,1860,1924,"Peckham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/charles-maundrell-1596
"Maurer, Dora",Female,born 1937,1937,9999,"Budapest, Magyarország",Missing,http://www.tate.org.uk/art/artists/dora-maurer-1597
"Mauve, Anton",Male,1838–1888,1838,1888,"Zaandam, Nederland","Arnhem, Nederland",http://www.tate.org.uk/art/artists/anton-mauve-1598
"Maxwell, John",Male,1905–1962,1905,1962,"England, United Kingdom","England, United Kingdom",http://www.tate.org.uk/art/artists/john-maxwell-1599
"May, Nicholas",Male,born 1962,1962,9999,"Limavady, United Kingdom",Missing,http://www.tate.org.uk/art/artists/nicholas-may-2367
"May, Phil",Male,1864–1903,1864,1903,"Leeds, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/phil-may-1600
"Mayakovsky, Vladimir",Missing,1893–1930,1893,1930,Missing,Missing,http://www.tate.org.uk/art/artists/vladimir-mayakovsky-5672
"Mayor, Fred",Male,1865–1916,1865,1916,"North Yorkshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/fred-mayor-1601
"Maze, Paul",Male,1887–1979,1887,1979,"Le Havre, France","Chichester, United Kingdom",http://www.tate.org.uk/art/artists/paul-maze-1602
"McCall, Anthony",Male,born 1946,1946,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/anthony-mccall-7491
