name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Sichel, Ernest Leopold",Male,1862–1941,1862,1941,"Bradford, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/ernest-leopold-sichel-1939
"Sickert, Bernard",Male,1862 or 63–1932,1862,1932,"München, Deutschland","Jordans, United Kingdom",http://www.tate.org.uk/art/artists/bernard-sickert-1940
"Sickert, Walter Richard",Male,1860–1942,1860,1942,"München, Deutschland","Bath and Northeast Somerset, United Kingdom",http://www.tate.org.uk/art/artists/walter-richard-sickert-1941
"Siddal, Elizabeth Eleanor",Female,1829–1862,1829,1862,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/elizabeth-eleanor-siddal-494
"Sierra, Santiago",Male,born 1966,1966,9999,"Madrid, España",Missing,http://www.tate.org.uk/art/artists/santiago-sierra-6878
"Sietsema, Paul",Male,born 1968,1968,9999,"Los Angeles, United States",Missing,http://www.tate.org.uk/art/artists/paul-sietsema-6005
"Sillman, Amy",Female,born 1966,1966,9999,"Detroit, United States",Missing,http://www.tate.org.uk/art/artists/amy-sillman-16982
"Simmonds, William G.",Male,1876–1968,1876,1968,"Galata, Türkiye",Missing,http://www.tate.org.uk/art/artists/william-g-simmonds-1942
"Simmons, Laurie",Female,born 1949,1949,9999,"Long Island, United States",Missing,http://www.tate.org.uk/art/artists/laurie-simmons-6376
"Simmons, Rosemary",Female,born 1932,1932,9999,Missing,Missing,http://www.tate.org.uk/art/artists/rosemary-simmons-rosura-jones-2322
"Simon, Taryn",Female,born 1975,1975,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/taryn-simon-11458
"Simpson, Jane",Female,born 1965,1965,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jane-simpson-2775
"Simpson, John",Male,1782–1847,1782,1847,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-simpson-495
"Simpson, Lorna",Female,born 1960,1960,9999,"Brooklyn, United States",Missing,http://www.tate.org.uk/art/artists/lorna-simpson-12577
